book,w2vsvm book pred proba,w2vsvm chap pred avg,w2vsvm chap pred proba avg,authenticity
1,0.9911713852297936,0.9259259259259259,0.7405718829954627,1
2,0.9728819929384781,0.8695652173913043,0.7292017236960361,1
3,0.9781864747758447,0.7777777777777778,0.7209863344134886,1
4,0.9736084102872772,0.92,0.7306182381900066,1
5,0.9880037507198873,0.875,0.796461156570406,1
6,0.9086721286549598,0.84,0.753434441767145,1
7,0.9682909584488527,0.7407407407407407,0.6936658916150017,1
8,0.8020799851512099,0.8636363636363636,0.7131129979474616,1
9,0.970243957001819,0.9583333333333334,0.7450370304246019,1
10,0.9892422859516897,0.9230769230769231,0.7431989339859381,1
11,0.9917393966555357,0.8695652173913043,0.7347573622164194,1
12,0.8770325893804359,0.6296296296296297,0.633117408793614,1
13,0.607863936222398,0.6296296296296297,0.6342667873762371,1
14,0.6194569746694923,0.6666666666666666,0.5998333687837984,1
15,0.926757651798019,0.7777777777777778,0.6674897860461528,1
16,0.8128776411549493,0.6538461538461539,0.6267202600418339,1
17,0.7031516084434544,0.6333333333333333,0.6032529221931557,1
18,0.8168112140168361,0.7586206896551724,0.6116239302599054,1
19,0.9652135279957827,0.8214285714285714,0.720278915332977,1
20,0.8700304453427513,0.6923076923076923,0.5977887118313979,1
21,0.886195634730118,0.8571428571428571,0.7030477505415053,1
22,0.782183203200338,0.5862068965517241,0.5756784035532879,1
23,0.9151015736408553,0.5161290322580645,0.5304431197871772,1
24,0.1937683658644782,0.6666666666666666,0.6239282026822761,1
25,0.9211480576629041,0.5925925925925926,0.6228497906185313,0
26,0.2793935305574531,0.4642857142857143,0.5399575067892849,1
27,0.024518991810361296,0.35714285714285715,0.44808071144842065,0
28,0.09269261490012932,0.4444444444444444,0.5021580415523755,0
29,0.4395577420842956,0.6428571428571429,0.5699296895405163,0
30,0.47612286062958203,0.43333333333333335,0.4723043049304708,0
31,0.15149320928185012,0.25925925925925924,0.341966503144358,0
32,0.9351685292972883,0.5,0.5264184773791906,1
33,0.1504815121598708,0.18518518518518517,0.3407885665017395,0
34,0.5934487117241302,0.8,0.6538023744695458,0
35,0.23536463209562572,0.44,0.45481112171968086,0
36,0.11826281578553421,0.16666666666666666,0.37475763083859076,0
37,0.01495747163979845,0.09090909090909091,0.2922229701522337,0
38,0.3084202760151665,0.42857142857142855,0.4309103771370429,0
39,0.19413858604477288,0.4090909090909091,0.46151565770114156,0
40,0.07393071989720769,0.125,0.33433425208988127,0
41,0.1239386085154288,0.10714285714285714,0.18745499576642685,0
42,0.025351243273525757,0.48,0.4399342087762299,0
43,0.2335753293944579,0.125,0.3954136073942845,0
44,0.21190500310272878,0.125,0.25970430932462,0
45,0.0940213782209861,0.21739130434782608,0.3219709841601737,0
46,0.1146410943269153,0.08695652173913043,0.19554612287722745,0
47,0.17089167871149422,0.07692307692307693,0.2095181803488337,0
48,0.5096040605169504,0.4,0.45824731232668525,0
49,0.23323837110792794,0.16666666666666666,0.30548595066669043,0
50,0.7047742011259781,0.5,0.5196647809979094,0
51,0.18591959733103658,0.038461538461538464,0.20376690899309177,0
52,0.4413177328293287,0.3103448275862069,0.3747476238834759,0
53,0.23938297333396732,0.4782608695652174,0.453207698168608,1
54,0.4625052957077946,0.22727272727272727,0.3437668290682377,1
